Fecha,Sucursal,Departamento,Categoría,Unidades_Vendidas,Venta_USD
2022-01-01,Panamá Norte,Abarrotes,Bebidas,49375,2153409.09
2022-02-01,Panamá Norte,Abarrotes,Bebidas,50036,2356012.36
2022-03-01,Panamá Norte,Abarrotes,Bebidas,69401,2689652.66
2022-04-01,Panamá Norte,Abarrotes,Bebidas,64301,2501567.56
2022-05-01,Panamá Norte,Abarrotes,Bebidas,63592,2696948.65
2022-06-01,Panamá Norte,Abarrotes,Bebidas,70497,2628677.08
2022-07-01,Panamá Norte,Abarrotes,Bebidas,74697,2777382.43
2022-08-01,Panamá Norte,Abarrotes,Bebidas,62701,2801166.47
2022-09-01,Panamá Norte,Abarrotes,Bebidas,65869,2477876.86
2022-10-01,Panamá Norte,Abarrotes,Bebidas,65225,2839837.82
2022-11-01,Panamá Norte,Abarrotes,Bebidas,85134,3549125.53
2022-12-01,Panamá Norte,Abarrotes,Bebidas,97202,3426671.51
2023-01-01,Panamá Norte,Abarrotes,Bebidas,54474,2386821.76
2023-02-01,Panamá Norte,Abarrotes,Bebidas,59294,2520499.85
2023-03-01,Panamá Norte,Abarrotes,Bebidas,70410,2961916.73
2023-04-01,Panamá Norte,Abarrotes,Bebidas,75649,2611592.51
2023-05-01,Panamá Norte,Abarrotes,Bebidas,70690,2620861.37
2023-06-01,Panamá Norte,Abarrotes,Bebidas,66108,2911575.51
2023-07-01,Panamá Norte,Abarrotes,Bebidas,73028,3123114.52
2023-08-01,Panamá Norte,Abarrotes,Bebidas,64575,2634538.12
2023-09-01,Panamá Norte,Abarrotes,Bebidas,62504,3171734.77
2023-10-01,Panamá Norte,Abarrotes,Bebidas,68149,2742375.94
2023-11-01,Panamá Norte,Abarrotes,Bebidas,81305,3191999.21
2023-12-01,Panamá Norte,Abarrotes,Bebidas,92891,4152145.26
2024-01-01,Panamá Norte,Abarrotes,Bebidas,49932,2260821.61
2024-02-01,Panamá Norte,Abarrotes,Bebidas,58905,2877541.67
2024-03-01,Panamá Norte,Abarrotes,Bebidas,76859,3066476.14
2024-04-01,Panamá Norte,Abarrotes,Bebidas,78022,3309223.68
2024-05-01,Panamá Norte,Abarrotes,Bebidas,75305,3198318.46
2024-06-01,Panamá Norte,Abarrotes,Bebidas,80030,3056434.98
2024-07-01,Panamá Norte,Abarrotes,Bebidas,83567,3065135.5
2024-08-01,Panamá Norte,Abarrotes,Bebidas,79862,3360011.78
2024-09-01,Panamá Norte,Abarrotes,Bebidas,78905,3126070.81
